交惡	jiao e
元惡大憝	yuan wu dai dui
勸善黜惡	quan shan chu e
厭惡	yan wu
可惡	ke wu
善善惡惡	shan shan e wu
善善惡惡	shan shan wu wu
喑惡叱吒	yin e chi zha
好善惡惡	hao shan wu e
好善惡惡	hao shan wu wu
好惡	hao wu
好生惡殺	hao sheng e sha
好諛惡直	hao yu wu zhi
好逸惡勞	hao yi wu lao
嫉惡如仇	ji e ru chou
嫉惡若仇	ji e ruo chou
嫌好道惡	xian hao dao wu
嫌惡	xian wu
忒惡	te e
怙惡不悛	hu e bu xun
怙惡不改	hu wu bu gai
惡之欲其死	wu zhi yu qi si
惡事行千里	e shi xing qian li
惡哏哏	e hen gen
惡地	e di
惡嫌	e xian
惡性貧血	e xing pin xue
惡惡	wu e
惡惡	wu wu
惡惡從短	e e cong duan
惡惡從短	e wu cong duan
惡惡從短	wu e cong duan
惡惡從短	wu wu cong duan
惡有	wu you
惡濕居下	wu shi ju xia
惡直醜正	wu zhi chou zheng
惡稔禍盈	wu ren huo ying
惡稔罪盈	wu ren zui ying
惡稔貫盈	e ren wan ying
惡紫奪朱	wu zi duo zhu
惡行	e xing
惡醉強酒	e zui qiang jiu
惡露	e lu
愛遠惡近	ai yuan wu jin
憎惡	zeng wu
懷惡不悛	huai e bu quan
戀生惡死	lian sheng wu si
掩罪藏惡	yan zui cang wu
改惡行善	gai e xing shan
欣生惡死	xin sheng wu si
深惡	shen wu
深惡痛嫉	shen wu tong ji
深惡痛絕	shen wu tong jue
爲惡不悛	wei wu bu xun
畏影惡跡	wei ying wu ji
疾惡如仇	ji e ru chou
疾惡若仇	ji wu ruo chou
痛惡	tong wu
禍盈惡稔	huo ying wu ren
禍稔惡盈	huo ren e ying
稔惡不悛	ren e bu xun
罪惡昭著	zui e zhao zhu
罪惡深重	zui wu shen zhong
羞惡	xiu e
羞惡之心	xiu e zhi xin
薄惡	bo e
諱惡不悛	hui wu bu quan
貪生惡死	tan sheng wu si
辟惡	bi e
辟惡除患	pi e chu huan
長君之惡	zhang jun zhi e
長惡不悛	chang e bu quan
