交惡	jiao wu
元惡大憝	yuan wu da dui
勸善黜惡	quan shan chu e
厭惡	ya e
可惡	ke wu
善善惡惡	shan shan e wù
善善惡惡	shan shan e è
喑惡叱吒	yin e chi zha
好善惡惡	hao shan wù e
好善惡惡	hao shan wù wu
好善惡惡	hao shan è e
好善惡惡	hao shan è wu
好惡	hao wu
好生惡殺	hao sheng wu sha
好諛惡直	hao yu w zhi
好逸惡勞	hao yi wu lao
嫉惡如仇	ji e ru chou
嫉惡若仇	ji e ruo chou
嫌好道惡	xian hao dao e
嫌惡	xian wu
忒惡	te e
怙惡不悛	hu e bu quan
怙惡不改	hu e bu gai
惡之欲其死	wù zhi yu qi si
惡事行千里	e shi xing qian li
惡事行千里	hu shi xing qian li
惡事行千里	wu shi xing qian li
惡哏哏	w gen gen
惡地	e di
惡地	wu di
惡嫌	wu xian
惡性貧血	e xing pin xue
惡性貧血	wu xing pin xue
惡惡	e e
惡惡	e wu
惡惡	w e
惡惡	w wu
惡惡從短	w wu cong duan
惡有	wu you
惡濕居下	wu shi ju xia
惡直醜正	wu zhi chou zheng
惡稔禍盈	e ren huo ying
惡稔罪盈	e ren zui ying
惡稔貫盈	e ren guan ying
惡稔貫盈	wU ren guan ying
惡紫奪朱	w zi duo zhu
惡行	e xing
惡醉強酒	wu zui qiang jiu
惡露	e lù
惡露	wu lù
愛遠惡近	ai yuan wu jin
憎惡	zeng wù
懷惡不悛	huai wU bu xun
戀生惡死	lian sheng wù si
掩罪藏惡	yan zui cang e
改惡行善	gai e xing shan
欣生惡死	xin sheng wu si
深惡	shen wu
深惡痛嫉	shen e tong ji
深惡痛嫉	shen wU tong ji
深惡痛絕	shen w tong jue
爲惡不悛	wei e bu xun
畏影惡跡	wei ying e ji
疾惡如仇	ji e ru chou
疾惡若仇	ji e ruo chou
痛惡	tong wU
禍盈惡稔	huo ying e ren
禍稔惡盈	huo ren wu ying
稔惡不悛	ren e bu quán
罪惡昭著	zui e zhao zhu
罪惡深重	zui wu shen zhong
羞惡	xiu wu
羞惡之心	xiu wu zhi xin
薄惡	bo wu
諱惡不悛	hui wu bu xun
貪生惡死	tan sheng e si
辟惡	bi e
辟惡	pi e
辟惡除患	p e chu huan
長君之惡	zhang jun zhi wu
長惡不悛	chang e bu xun
